tick,sim_time,agents_available,agents_reserved,agents_dialing,agents_connected,agents_wrapup,utilization,calls_initiated_cum,calls_connected_cum,calls_abandoned_cum,ringing,p_answer_point,p_answer_lb,samples,requested,approved,reason_code,abandon_rate_5m,provider_a_health,provider_b_health
1,0.25,50,0,0,0,0,0.0,47,0,0,0,0.0,0.05,0,50,50,OK,0.0,1.0,1.0
2,0.5,3,0,47,0,0,0.94,47,0,0,47,0.0,0.05,0,0,0,OK,0.0,0.959,0.0
3,0.75,22,0,28,0,0,0.56,47,0,0,28,0.0,0.01,19,248,0,INSUFFICIENT_SAMPLES,0.0,0.959,0.0
4,1.0,47,0,0,3,0,0.06,92,0,0,0,0.0,0.01,44,1308,75,OVERDIAL_CAP,0.0,0.959,0.0
5,1.25,2,0,45,3,0,0.96,92,0,0,45,0.0,0.01,44,13,0,OVERDIAL_CAP,0.0,0.958,0.0
6,1.5,17,0,30,3,0,0.66,107,0,0,30,0.0,0.01,59,601,15,OVERDIAL_CAP,0.0,0.958,0.0
7,1.75,24,0,15,11,0,0.52,131,0,0,15,0.0,0.01,81,1211,45,OVERDIAL_CAP,0.0,0.964,0.0
8,2.0,0,0,39,11,0,1.0,131,0,0,39,0.0,0.01,81,0,0,OK,0.0,0.97,0.0
9,2.25,13,0,24,13,0,0.74,144,0,0,24,0.0,0.01,94,758,27,OVERDIAL_CAP,0.0,0.97,0.0
10,2.5,20,0,13,17,0,0.6,163,0,0,13,0.0,0.01,114,1435,49,OVERDIAL_CAP,0.0,0.973,0.0
11,2.75,1,0,32,17,0,0.98,164,0,0,32,0.0,0.01,114,78,11,OVERDIAL_CAP,0.0,0.97,0.0
12,3.0,13,0,20,17,0,0.74,177,0,0,20,0.0,0.01,127,1042,35,OVERDIAL_CAP,0.0,0.97,0.0
13,3.25,16,0,14,20,0,0.68,192,0,0,14,0.0,0.01,143,1453,47,OVERDIAL_CAP,0.0,0.973,0.0
14,3.5,2,0,28,20,0,0.96,194,0,0,28,0.0,0.01,144,208,19,OVERDIAL_CAP,0.0,0.97,0.0
15,3.75,11,0,17,22,0,0.78,203,0,0,17,0.0,0.01,155,1101,41,OVERDIAL_CAP,0.0,0.97,0.0
