tick,sim_time,agents_available,agents_reserved,agents_dialing,agents_connected,agents_wrapup,utilization,calls_initiated_cum,calls_connected_cum,calls_abandoned_cum,ringing,p_answer_point,p_answer_lb,samples,requested,approved,reason_code,abandon_rate_5m,provider_a_health,provider_b_health
1,0.25,50,0,0,0,0,0.0,47,0,0,0,0.0,0.05,0,50,50,OK,0.0,1.0,1.0
2,0.5,3,0,47,0,0,0.94,47,0,0,47,0.0,0.05,0,0,0,OK,0.0,0.959,0.0
3,0.75,22,0,28,0,0,0.56,47,0,0,28,0.0,0.01,19,248,0,INSUFFICIENT_SAMPLES,0.0,0.959,0.0
4,1.0,38,0,0,12,0,0.24,83,0,0,0,0.0,0.01,35,856,75,OVERDIAL_CAP,0.0,0.959,0.0
5,1.25,2,0,36,12,0,0.96,85,0,0,36,0.0,0.01,35,17,3,OVERDIAL_CAP,0.0,0.954,0.0
6,1.5,0,0,38,12,0,1.0,85,0,0,38,0.0,0.01,35,0,0,OK,0.0,0.955,0.0
7,1.75,20,0,2,28,0,0.6,105,0,0,2,0.0,0.01,55,719,71,OVERDIAL_CAP,0.0,0.955,0.0
8,2.0,2,0,20,28,0,0.96,107,0,0,20,0.0,0.01,57,84,35,OVERDIAL_CAP,0.0,0.963,0.0
9,2.25,0,0,22,28,0,1.0,107,0,0,22,0.0,0.01,57,11,0,NO_AGENTS,0.0,0.964,0.0
10,2.5,11,0,2,37,0,0.78,118,0,0,2,0.0,0.01,68,516,71,OVERDIAL_CAP,0.0,0.964,0.0
11,2.75,2,0,11,37,0,0.96,119,0,0,11,0.0,0.01,70,130,53,OVERDIAL_CAP,0.0,0.967,0.0
12,3.0,1,0,12,37,0,0.98,120,0,0,12,0.0,0.01,70,85,51,OVERDIAL_CAP,0.0,0.96,0.0
13,3.25,5,0,2,43,0,0.9,125,0,0,2,0.0,0.01,75,298,71,OVERDIAL_CAP,0.0,0.96,0.0
14,3.5,1,0,6,43,0,0.98,126,0,0,6,0.0,0.01,76,109,63,OVERDIAL_CAP,0.0,0.962,0.0
15,3.75,0,0,6,44,0,1.0,126,0,0,6,0.0,0.01,76,63,0,NO_AGENTS,0.0,0.962,0.0
