tick,sim_time,agents_available,agents_reserved,agents_dialing,agents_connected,agents_wrapup,utilization,calls_initiated_cum,calls_connected_cum,calls_abandoned_cum,ringing,p_answer_point,p_answer_lb,samples,requested,approved,reason_code,abandon_rate_5m,provider_a_health,provider_b_health
1,0.25,50,0,0,0,0,0.0,47,0,0,0,0.0,0.05,0,50,50,OK,0.0,1.0,1.0
2,0.5,3,0,47,0,0,0.94,47,0,0,47,0.0,0.05,0,0,0,OK,0.0,0.959,0.0
3,0.75,22,0,28,0,0,0.56,47,0,0,28,0.0,0.01,19,248,0,INSUFFICIENT_SAMPLES,0.0,0.959,0.0
4,1.0,32,0,0,18,0,0.36,78,0,0,0,0.0,0.01,29,608,32,INSUFFICIENT_SAMPLES,0.0,0.959,0.0
5,1.25,1,0,31,18,0,0.98,78,0,0,31,0.0,0.01,29,0,0,OK,0.0,0.963,0.0
6,1.5,1,0,31,18,0,0.98,78,0,0,31,0.0,0.01,29,0,0,OK,0.0,0.963,0.0
7,1.75,9,0,0,41,0,0.82,86,0,0,0,0.0,0.01,37,243,75,OVERDIAL_CAP,0.0,0.963,0.0
8,2.0,1,0,8,41,0,0.98,87,0,0,8,0.0,0.01,37,47,47,OK,0.0,0.956,0.0
9,2.25,0,0,9,41,0,1.0,87,0,0,9,0.0,0.01,37,23,0,NO_AGENTS,0.0,0.956,0.0
10,2.5,2,0,1,47,0,0.96,89,0,0,1,0.0,0.01,39,87,73,OVERDIAL_CAP,0.0,0.956,0.0
11,2.75,0,0,2,48,0,1.0,89,0,0,2,0.0,0.01,39,37,0,NO_AGENTS,0.0,0.957,0.0
12,3.0,0,0,2,48,0,1.0,89,0,0,2,0.0,0.01,39,37,0,NO_AGENTS,0.0,0.957,0.0
13,3.25,0,0,0,50,0,1.0,89,0,0,0,0.0,0.01,39,41,0,NO_AGENTS,0.0,0.957,0.0
14,3.5,0,0,0,50,0,1.0,89,0,0,0,0.0,0.01,39,41,0,NO_AGENTS,0.0,0.957,0.0
15,3.75,0,0,0,50,0,1.0,89,0,0,0,0.0,0.01,39,41,0,NO_AGENTS,0.0,0.957,0.0
16,4.0,0,0,0,50,0,1.0,89,0,0,0,0.0,0.01,39,41,0,NO_AGENTS,0.0,0.957,0.0
