tick,sim_time,agents_available,agents_reserved,agents_dialing,agents_connected,agents_wrapup,utilization,calls_initiated_cum,calls_connected_cum,calls_abandoned_cum,ringing,p_answer_point,p_answer_lb,samples,requested,approved,reason_code,abandon_rate_5m,provider_a_health,provider_b_health
1,0.25,50,0,0,0,0,0.0,47,0,0,0,0.0,0.05,0,50,50,OK,0.0,1.0,1.0
2,0.5,3,0,47,0,0,0.94,47,0,0,47,0.0,0.05,0,0,0,OK,0.0,0.959,0.0
3,0.75,22,0,28,0,0,0.56,47,0,0,28,0.0,0.01,19,248,0,INSUFFICIENT_SAMPLES,0.0,0.959,0.0
4,1.0,39,0,0,11,0,0.22,84,0,0,0,0.0,0.01,36,902,75,OVERDIAL_CAP,0.0,0.959,0.0
5,1.25,2,0,37,11,0,0.96,85,0,0,37,0.0,0.01,36,17,1,OVERDIAL_CAP,0.0,0.955,0.0
6,1.5,1,0,38,11,0,0.98,85,0,0,38,0.0,0.01,36,0,0,OK,0.0,0.955,0.0
7,1.75,23,0,1,26,0,0.54,108,0,0,1,0.0,0.01,58,865,73,OVERDIAL_CAP,0.0,0.955,0.0
8,2.0,1,0,23,26,0,0.98,109,0,0,23,0.0,0.01,59,45,29,OVERDIAL_CAP,0.0,0.964,0.0
9,2.25,0,0,24,26,0,1.0,109,0,0,24,0.0,0.01,59,7,0,NO_AGENTS,0.0,0.965,0.0
10,2.5,13,0,1,36,0,0.74,121,0,0,1,0.0,0.01,72,635,73,OVERDIAL_CAP,0.0,0.965,0.0
11,2.75,1,0,12,37,0,0.98,122,0,0,12,0.0,0.01,72,88,51,OVERDIAL_CAP,0.0,0.96,0.0
12,3.0,0,0,13,37,0,1.0,122,0,0,13,0.0,0.01,72,42,0,NO_AGENTS,0.0,0.961,0.0
13,3.25,6,0,1,43,0,0.88,128,0,0,1,0.0,0.01,78,359,73,OVERDIAL_CAP,0.0,0.961,0.0
14,3.5,0,0,6,44,0,1.0,128,0,0,6,0.0,0.01,78,65,0,NO_AGENTS,0.0,0.962,0.0
15,3.75,0,0,6,44,0,1.0,128,0,0,6,0.0,0.01,78,65,0,NO_AGENTS,0.0,0.962,0.0
