tick,sim_time,agents_available,agents_reserved,agents_dialing,agents_connected,agents_wrapup,utilization,calls_initiated_cum,calls_connected_cum,calls_abandoned_cum,ringing,p_answer_point,p_answer_lb,samples,requested,approved,reason_code,abandon_rate_5m,provider_a_health,provider_b_health
1,0.25,50,0,0,0,0,0.0,47,0,0,0,0.0,0.05,0,50,50,OK,0.0,1.0,1.0
2,0.5,3,0,47,0,0,0.94,47,0,0,47,0.0,0.05,0,0,0,OK,0.0,0.959,0.0
3,0.75,22,0,28,0,0,0.56,47,0,0,28,0.0,0.01,19,0,0,OK,0.0,0.959,0.0
4,1.0,38,0,0,12,0,0.24,83,0,0,0,0.0,0.01,35,38,38,OK,0.0,0.959,0.0
5,1.25,2,0,36,12,0,0.96,83,0,0,36,0.0,0.01,35,0,0,OK,0.0,0.954,0.0
6,1.5,2,0,36,12,0,0.96,83,0,0,36,0.0,0.01,35,0,0,OK,0.0,0.954,0.0
7,1.75,23,0,0,27,0,0.54,106,0,0,0,0.0,0.01,56,23,23,OK,0.0,0.954,0.0
8,2.0,0,0,23,27,0,1.0,106,0,0,23,0.0,0.01,56,0,0,OK,0.0,0.964,0.0
9,2.25,0,0,23,27,0,1.0,106,0,0,23,0.0,0.01,56,0,0,OK,0.0,0.964,0.0
10,2.5,13,0,0,37,0,0.74,119,0,0,0,0.0,0.01,69,13,13,OK,0.0,0.964,0.0
11,2.75,0,0,13,37,0,1.0,119,0,0,13,0.0,0.01,69,0,0,OK,0.0,0.967,0.0
12,3.0,0,0,13,37,0,1.0,119,0,0,13,0.0,0.01,69,0,0,OK,0.0,0.967,0.0
13,3.25,8,0,0,42,0,0.84,127,0,0,0,0.0,0.01,77,8,8,OK,0.0,0.967,0.0
14,3.5,0,0,8,42,0,1.0,127,0,0,8,0.0,0.01,77,0,0,OK,0.0,0.969,0.0
15,3.75,0,0,8,42,0,1.0,127,0,0,8,0.0,0.01,77,0,0,OK,0.0,0.969,0.0
16,4.0,5,0,0,45,0,0.9,132,0,0,0,0.0,0.01,82,5,5,OK,0.0,0.969,0.0
17,4.25,0,0,5,45,0,1.0,132,0,0,5,0.0,0.01,82,0,0,OK,0.0,0.971,0.0
